date,tavg,tmin,tmax,prcp,wspd,pres,tsun,city
2/1/2024,24.2,17,31.6,0,,1018.5,13920,Bengaluru
3/1/2024,27.3,19.9,34,0,,1015.5,12840,Bengaluru
4/1/2024,29.4,22.9,36.7,0.1,,1013.1,13080,Bengaluru
5/1/2024,26.9,22.3,34.9,170.4,,1011.6,,Bengaluru
6/1/2024,25.3,21.5,30.2,125.3,,1011.8,,Bengaluru
7/1/2024,24.1,21.1,28.1,122.3,,1011,2640,Bengaluru
8/1/2024,25.2,22,29.3,229,,1011.7,6300,Bengaluru
9/1/2024,25.2,21.4,29.6,24,,1012,8040,Bengaluru
10/1/2024,24.7,21.3,29.2,287.4,,1014.1,6180,Bengaluru
11/1/2024,23.7,20.2,27.7,39.9,,1015.8,7500,Bengaluru
12/1/2024,22.9,19.4,27.1,96,,1015.3,7320,Bengaluru
1/1/2025,21.3,16.6,27.4,3.5,,1017.1,12300,Bengaluru
2/1/2025,23.8,16.8,30.9,0,,1017.6,14640,Bengaluru
3/1/2025,26.3,20.1,32.9,12,,1014.1,13740,Bengaluru
4/1/2025,26.9,21.8,32.8,32,,1014.1,10620,Bengaluru
5/1/2025,25.1,21.2,30.1,141.9,,1011.2,8160,Bengaluru
6/1/2025,24.3,20.9,29,78.6,,1011.8,6720,Bengaluru
7/1/2025,23.2,20.3,27.6,154.2,,1011.7,6660,Bengaluru
8/1/2025,23.1,20.4,27.4,177.3,,1012.7,4260,Bengaluru
9/1/2025,23.5,20.3,28,117.1,,1013.2,4860,Bengaluru
10/1/2025,23.4,20.4,27.7,127,,1014.3,7140,Bengaluru
11/1/2025,22.1,18.6,26.8,23,,1017.2,6600,Bengaluru
12/1/2025,20.7,16.3,26.6,1,,1017.3,11460,Bengaluru
1/1/2020,19.2,12.3,26.1,0,,1015.5,14100,Ahmedabad
2/1/2020,23.1,15.3,30.8,0,,1014.6,17220,Ahmedabad
3/1/2020,26.5,19.2,33.7,13,,1011.2,17640,Ahmedabad
4/1/2020,32.9,25.5,40.4,0,,1008.7,,Ahmedabad
5/1/2020,35.3,28,42.6,0,,1005,21360,Ahmedabad
6/1/2020,32,26.9,37.4,216,,1002,,Ahmedabad
7/1/2020,31.1,26.8,35.5,210,,1000.7,11220,Ahmedabad
8/1/2020,28.5,25.7,32.1,425,,1000.4,,Ahmedabad
9/1/2020,30.3,26.2,34.3,119,,1004.6,12060,Ahmedabad
10/1/2020,29.9,23.6,36.2,1,,1007.6,17340,Ahmedabad
11/1/2020,24.9,17.1,32.6,0,,1014,16500,Ahmedabad
12/1/2020,22.3,14.9,29.7,1,,1014.3,15420,Ahmedabad
1/1/2021,20.5,13,27.9,0,,1013.2,14940,Ahmedabad
2/1/2021,23.4,15.6,32.8,0,,1013.6,,Ahmedabad
3/1/2021,29.1,20.3,38,0,,1010.3,18420,Ahmedabad
4/1/2021,32.7,24.8,40.7,0,,1008.1,18540,Ahmedabad
5/1/2021,33.5,27.5,39.5,139,,1003.9,17580,Ahmedabad
6/1/2021,31.9,27,36.8,148,,1002.4,13740,Ahmedabad
7/1/2021,30.9,27,34.8,171,,1000.5,8340,Ahmedabad
